City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Lahij,YE,2022-05-27 23:33:22,13.1667,44.5833,81.86,44,38,3.29,scattered clouds
60,Arraial Do Cabo,BR,2022-05-27 23:31:18,-22.9661,-42.0278,71.56,83,0,9.22,clear sky
61,Ketchikan,US,2022-05-27 23:33:11,55.3422,-131.6461,54.07,82,100,10.36,overcast clouds
62,Arkhipo-Osipovka,RU,2022-05-27 23:33:23,44.37,38.52,54.9,70,4,3.2,clear sky
63,Bilibino,RU,2022-05-27 23:33:23,68.0546,166.4372,38.16,92,100,0.36,overcast clouds
64,Jamestown,US,2022-05-27 23:23:54,42.097,-79.2353,67.59,86,100,9.22,overcast clouds
65,Port Alfred,ZA,2022-05-27 23:33:23,-33.5906,26.891,60.87,82,13,6.6,few clouds
66,Cayenne,GF,2022-05-27 23:33:24,4.9333,-52.3333,82.09,5,0,3.44,clear sky
67,Hithadhoo,MV,2022-05-27 23:29:09,-0.6,73.0833,82.98,74,30,11.79,scattered clouds
68,Tura,IN,2022-05-27 23:25:15,25.5198,90.2201,69.33,88,5,4.52,clear sky
69,Marsh Harbour,BS,2022-05-27 23:23:58,26.5412,-77.0636,79.65,71,99,14.09,overcast clouds
70,Cockburn Town,TC,2022-05-27 23:29:12,21.4612,-71.1419,80.56,74,40,16.11,scattered clouds
71,Palmer,US,2022-05-27 23:33:24,42.1584,-72.3287,72.95,80,100,16.11,overcast clouds
72,Saskylakh,RU,2022-05-27 23:25:02,71.9167,114.0833,26.28,90,99,7.31,overcast clouds
73,Bethel,US,2022-05-27 23:30:19,41.3712,-73.414,70.72,89,100,3.44,overcast clouds
74,Slonim,BY,2022-05-27 23:33:24,53.0867,25.3219,42.87,90,30,10.45,scattered clouds
75,Komsomolskiy,UZ,2022-05-27 23:33:25,40.4272,71.7189,65.12,72,75,4.61,broken clouds
76,Dargaville,NZ,2022-05-27 23:33:25,-35.9333,173.8833,64.2,55,26,10.36,scattered clouds
77,Antofagasta,CL,2022-05-27 23:33:25,-23.65,-70.4,58.28,87,66,4.25,broken clouds
78,Qarchi Gak,AF,2022-05-27 23:33:26,37.04,66.7889,67.78,41,1,22.57,clear sky
79,Severnyy,RU,2022-05-27 23:33:26,50.677,36.5532,62.64,55,0,11.18,clear sky
80,Hay River,CA,2022-05-27 23:33:26,60.8156,-115.7999,62.58,39,75,4.61,shower rain
81,Pundaguitan,PH,2022-05-27 23:33:26,6.3711,126.1689,81.7,77,100,8.84,overcast clouds
82,Kaitangata,NZ,2022-05-27 23:33:27,-46.2817,169.8464,50.92,65,80,5.77,broken clouds
83,Kavieng,PG,2022-05-27 23:33:27,-2.5744,150.7967,83.14,61,100,1.32,overcast clouds
84,Mabaruma,GY,2022-05-27 23:30:24,8.2,-59.7833,73.09,95,38,2.98,scattered clouds
85,Campbeltown,GB,2022-05-27 23:33:27,55.4258,-5.6076,48.25,79,93,13.51,overcast clouds
86,Gobabis,NA,2022-05-27 23:33:28,-22.45,18.9667,55.56,28,0,11.34,clear sky
87,Rodeo,US,2022-05-27 23:33:28,38.033,-122.2669,77.18,65,20,11.5,few clouds
88,Hermanus,ZA,2022-05-27 23:23:53,-34.4187,19.2345,55.8,83,26,7.14,scattered clouds
89,Kavaratti,IN,2022-05-27 23:34:28,10.5669,72.642,82.15,76,100,6.6,overcast clouds
90,Sunrise Manor,US,2022-05-27 23:34:28,36.2111,-115.0731,104.09,6,0,20.71,clear sky
91,Port Blair,IN,2022-05-27 23:34:29,11.6667,92.75,82.44,83,75,8.05,mist
92,Karacabey,TR,2022-05-27 23:34:29,40.2152,28.4038,62.98,69,52,1.07,broken clouds
93,Dikson,RU,2022-05-27 23:30:19,73.5069,80.5464,22.42,88,10,2.84,clear sky
94,Viedma,AR,2022-05-27 23:34:29,-40.8135,-62.9967,41.52,71,4,5.17,clear sky
95,High Level,CA,2022-05-27 23:34:30,58.5169,-117.136,69.91,28,75,6.91,broken clouds
96,Kitakata,JP,2022-05-27 23:34:30,37.65,139.8667,65.05,58,16,15.99,few clouds
97,Orhei,MD,2022-05-27 23:34:30,47.3831,28.8231,65.79,77,4,14.16,clear sky
98,Rosetta,EG,2022-05-27 23:34:30,31.4044,30.4164,71.33,81,0,7.31,clear sky
99,Thompson,CA,2022-05-27 23:34:31,55.7435,-97.8558,46.56,66,75,3.44,broken clouds
100,Vila Franca Do Campo,PT,2022-05-27 23:34:31,37.7167,-25.4333,68.2,88,100,5.66,overcast clouds
101,Airai,TL,2022-05-27 23:34:31,-8.9266,125.4092,65.37,69,14,3.18,few clouds
102,Te Anau,NZ,2022-05-27 23:30:27,-45.4167,167.7167,52.48,74,99,6.51,overcast clouds
103,Salalah,OM,2022-05-27 23:34:32,17.0151,54.0924,84.29,79,75,4.61,broken clouds
104,Morehead,US,2022-05-27 23:34:32,37.2711,-87.1764,67.75,79,100,5.01,overcast clouds
105,Castro,BR,2022-05-27 23:26:54,-24.7911,-50.0119,56.52,84,81,3.74,broken clouds
106,Taltal,CL,2022-05-27 23:34:32,-25.4,-70.4833,60.64,78,34,4.0,scattered clouds
107,Fairbanks,US,2022-05-27 23:34:32,64.8378,-147.7164,70.61,26,0,8.05,clear sky
108,Jutai,BR,2022-05-27 23:34:33,-5.1833,-68.9,73.2,97,91,1.86,overcast clouds
109,Hilo,US,2022-05-27 23:29:06,19.7297,-155.09,85.28,69,100,9.22,overcast clouds
110,Varca,IN,2022-05-27 23:34:33,15.2167,73.9167,82.4,78,40,5.75,scattered clouds
111,Akyab,MM,2022-05-27 23:25:06,20.15,92.9,82.08,85,96,5.39,overcast clouds
112,Kawambwa,ZM,2022-05-27 23:34:33,-9.7915,29.0791,57.15,68,0,6.2,clear sky
113,Morgan City,US,2022-05-27 23:34:33,29.6994,-91.2068,87.8,55,40,8.05,scattered clouds
114,Phalaborwa,ZA,2022-05-27 23:34:34,-23.943,31.1411,61.88,78,73,3.74,broken clouds
115,Tasiilaq,GL,2022-05-27 23:29:07,65.6145,-37.6368,33.96,64,100,2.24,overcast clouds
116,Horqueta,PY,2022-05-27 23:34:34,-23.3428,-57.0597,71.91,79,94,6.96,overcast clouds
117,Norman Wells,CA,2022-05-27 23:34:34,65.282,-126.8329,48.24,61,75,20.71,broken clouds
118,Scottsbluff,US,2022-05-27 23:33:14,41.8666,-103.6672,86.23,20,0,13.0,clear sky
119,Bambous Virieux,MU,2022-05-27 23:25:07,-20.3428,57.7575,70.05,88,20,4.61,few clouds
120,Saldanha,ZA,2022-05-27 23:34:35,-33.0117,17.9442,48.25,88,1,4.74,clear sky
121,Vawkavysk,BY,2022-05-27 23:34:35,53.1561,24.4513,42.93,92,36,12.26,scattered clouds
122,Broome,US,2022-05-27 23:30:22,42.2506,-75.833,69.67,86,40,9.22,scattered clouds
123,Chimbote,PE,2022-05-27 23:34:35,-9.0853,-78.5783,62.71,89,15,8.34,few clouds
124,Havelock,US,2022-05-27 23:34:36,34.8791,-76.9013,75.94,84,75,11.5,broken clouds
125,Gamba,GA,2022-05-27 23:34:36,-2.65,10.0,71.56,94,15,3.76,few clouds
