City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Phulabani,IN,81.57,few clouds,20.4667,84.2333,Hotel Raj Kamal
200,Biak,ID,78.75,moderate rain,-0.9131,122.8766,Penginapan Kim
203,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
204,Baoding,CN,84.56,scattered clouds,38.8511,115.4903,Xiu Lan Hotel
205,Balikpapan,ID,74.39,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
210,Luwuk,ID,80.82,light rain,-0.9516,122.7875,Hotel Santika Luwuk
215,Bafq,IR,72.52,clear sky,31.6128,55.4107,Alamdar Hotel
216,Hambantota,LK,78.73,broken clouds,6.1241,81.1185,Bungalow 63
223,King City,US,83.91,overcast clouds,36.2127,-121.126,Days Inn by Wyndham King City
225,Pingzhuang,CN,75.16,broken clouds,42.0372,119.2889,Haoke Guest House
229,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
230,Tomatlan,MX,84.07,clear sky,19.9333,-105.25,El Salvial
231,Shingu,JP,75.31,scattered clouds,33.7333,135.9833,Shingu UI Hotel
232,Doka,SD,85.69,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
237,Odweyne,SO,75.6,overcast clouds,9.4092,45.064,Eng Hiirey House
243,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
247,Dingle,PH,80.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
248,Honiara,SB,84.2,light rain,-9.4333,159.95,Heritage Park Hotel
251,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
254,Hami,CN,77.65,broken clouds,42.8,93.45,Laoyutang Resort
255,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
260,Touros,BR,76.03,light rain,-5.1989,-35.4608,INN NEW HORIZON
263,Isangel,VU,80.58,overcast clouds,-19.55,169.2667,Tanna Lodge
264,Sibu,MY,73.71,few clouds,2.3,111.8167,RH HOTEL (4 Star)
265,Nioaque,BR,72.57,few clouds,-21.1353,-55.83,Nioaque Novo Hotel
267,Omboue,GA,72.77,scattered clouds,-1.5746,9.2618,Hotel Olako
268,Faanui,PF,80.89,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
270,Utinga,BR,77.4,light rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
278,Patamundai,IN,83.03,broken clouds,20.5667,86.5667,Chapda gaan
279,Yatou,CN,74.59,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
280,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
282,Banikoara,BJ,79.54,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
283,Nishihara,JP,72.68,mist,26.1842,127.7558,Minshuku Agaihama
287,Santa Cruz,BO,80.65,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
289,Rio De Janeiro,BR,75.42,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
292,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
293,San Fernando,PH,82.13,overcast clouds,15.0286,120.6898,Maharlika Hostel
294,Calabaca,PH,82.04,overcast clouds,14.3001,122.4336,Costa Pacifico Beach Resort
295,Bima,ID,79.7,overcast clouds,-8.4667,118.7167,Lambitu Hotel
297,Mackay,AU,75.69,clear sky,-21.15,149.2,International Lodge Motel
300,Harper,LR,77.97,light rain,4.375,-7.7169,Screensaver
302,Porto Novo,BJ,77.86,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
303,Bon Air,US,74.88,scattered clouds,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
310,Waddan,LY,85.48,clear sky,29.1614,16.139,محل الشريف محمد العايب
311,Sola,VU,79.3,overcast clouds,-13.8833,167.55,Leumerus Bungalows
317,Takoradi,GH,79.29,overcast clouds,4.8845,-1.7554,Raybow International Hotel
321,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
326,Tezu,IN,72.5,overcast clouds,27.9167,96.1667,Circuit House
328,Kerema,PG,80.91,overcast clouds,-7.9631,145.7785,Frena Lodge
329,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
330,Half Moon Bay,US,76.87,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
331,Pinotepa Nacional,MX,82.09,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
333,Mogadishu,SO,79.39,overcast clouds,2.0371,45.3438,Hotel Juba
